request_batch,miss_rate,n_reads,gds_p50_us,tutti_p50_us,p50_speedup,gds_p99_us,tutti_p99_us,p99_speedup,gds_iops,tutti_iops,iops_speedup,gds_submit_mean_us,tutti_submit_mean_us,a2_over_a1_p50,b2_over_b1_p50,a2_over_a1_p99,b2_over_b1_p99,scenario,reference_gpu_cache_slots,effective_miss_rate
1,0.067,137,870.176,222.36599999999999,3.9132601207019064,2162.633509999995,308.79947,7.003358878821895,26633.414298102787,596037.3760246336,22.379307788077774,741.0468899999998,55.2718325,0.9687667844682455,0.993998019548538,0.9249757062431585,1.0217448865310077,lru_8k_lower_miss,8192,0.06689453125
1,0.134,274,1530.8155000000002,318.6375,4.804254050449178,4353.068449999995,393.46610999999996,11.063388534275534,68144.28385695428,845166.0369935498,12.40259621434555,1254.8963575,98.15505749999998,0.976846630522486,0.9888791027209877,0.828924369429565,0.9478231402259759,lru_4k_main,4096,0.1337890625
1,0.3,614,3264.032,582.8779999999999,5.599854515010003,6126.995929999994,678.16091,9.034722939132534,184893.4557559077,1042888.1554342926,5.640481709699292,2739.0976549999996,200.99618999999998,0.9279564965489483,0.9896930942367587,1.180728204650527,0.939075574449991,topk_only_staging_baseline,2048,0.2998046875
4,0.067,549,2820.273,525.37,5.368165293031578,4598.175319999994,624.3166900000001,7.365132782210249,190465.7567392379,1033395.6972264299,5.425624610523703,2373.08967,177.8169525,1.0052504603062924,0.9897321546777419,0.7312717769599666,0.9613393355288199,lru_8k_lower_miss,8192,0.0670166015625
4,0.134,1098,5618.0975,934.3425,6.012888742618473,11889.997329999998,1067.85259,11.134493132614866,189024.5865015619,1161049.8790358915,6.142322014952789,4738.0803225,335.95108749999997,0.9527565704727331,0.9992697715374599,0.9972807941749133,0.986750902446282,lru_4k_main,4096,0.134033203125
4,0.3,2458,11910.469000000001,1964.024,6.064319478784374,19568.642590000003,2094.8464799999997,9.341325379604909,191893.60718919174,1247922.0533466851,6.50319763970216,10774.70011,745.5275524999998,0.8592318880326587,0.996683498230818,1.0056143563474387,1.0249140652781294,topk_only_staging_baseline,2048,0.300048828125
16,0.067,2195,10561.716,1768.1285,5.973387115246432,18160.506059999996,1926.90415,9.424706496168994,194663.4059549942,1236737.7832210518,6.353211468553998,9429.019135,717.1610500000002,0.9771144989496869,0.9923520758992983,0.996702031330947,0.9809448798459154,lru_8k_lower_miss,8192,0.066986083984375
16,0.134,4391,24293.2965,3449.7325,7.042081233834797,36051.52022,3601.85847,10.009144035023674,172259.67886650015,1274128.9512164954,7.396559424703995,21609.8635575,1441.74415,0.9796167457834447,0.9960833113077794,0.8294521119685629,0.9949167464095278,lru_4k_main,4096,0.134002685546875
16,0.3,9830,58646.909499999994,7533.5025000000005,7.784813172890032,94285.48228000001,7812.82412,12.068041060676022,158007.31259602797,1302844.1510944532,8.24546743874691,51825.3910375,2917.6478275,0.8914136539139808,0.998286809467701,0.6980262387235844,1.0011406945345467,topk_only_staging_baseline,2048,0.29998779296875
64,0.067,8782,75242.2905,6774.478999999999,11.106727247955158,90476.30907,7062.46166,12.81087437011304,124679.5174946812,1295158.134382003,10.387898192156976,57076.081762500005,2823.85333,0.6864565770278372,0.9955366521031122,0.9812740455107393,1.0049657630745255,lru_8k_lower_miss,8192,0.0670013427734375
64,0.134,17564,159540.7175,13426.869999999999,11.882197228393514,180729.66885,13762.20672,13.132317551032978,109705.21168610301,1306720.3639012664,11.911196777416146,127689.3042075,5264.109205,0.943123513666756,0.996973879800683,0.9726292681307236,0.9948963417982642,lru_4k_main,4096,0.134002685546875
64,0.3,39322,348591.032,29976.617,11.628764913665876,386369.99442,30558.878539999998,12.643461176569735,121254.02368956777,1311464.4958825086,10.815843103401622,259671.9514075,11835.6308575,0.979761024698685,0.9961136945542393,0.968556909577841,0.9970534919657487,topk_only_staging_baseline,2048,0.3000030517578125
