backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-deployed,1,0.067,137,4096,256,0,2643.004,2787.276,561152,true,gpu_nvme_kernel,,2,16
Tutti-deployed,1,0.067,137,4096,256,0,62.762,214.175,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,1,57.335,239.446,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,2,56.832,217.513,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,3,56.093,271.153,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,4,56.313,224.881,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,5,53.641,219.884,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,6,56.595,252.561,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,7,53.504,205.602,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,8,55.526,242.337,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,9,50.424,201.129,561152,true,gpu_nvme_kernel,,0,16
Tutti-deployed,1,0.067,137,4096,256,0,56.464,232.701,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,1,52.848,222.012,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,2,53.584,233.544,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,3,53.991,213.235,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,4,54.402,253.674,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,5,53.57,234.919,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,6,53.448,215.845,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,7,51.34,275.753,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,8,56.335,225.967,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,9,51.844,233.004,561152,true,gpu_nvme_kernel,,1,16
Tutti-deployed,1,0.067,137,4096,256,10,56.09,224.102,561152,true,gpu_nvme_kernel,,1,16
